Player Names
Joan Adon
Ehire Adrianza
Troy Afenir
Jeremy Affeldt
Benny Agbayani
Tommie Agee
Harry Agganis
Joe Agler
Sam Agnew
Juan Agosto
Dario Agrazal
Luis Aguayo
Chris Aguila
Jesús Aguilar
Miguel Aguilar
Ryan Aguilar
Rick Aguilera
Hank Aguirre
Bill Ahearn
Pat Ahearne
Nick Ahmed
Willie Aikens
Danny Ainge
Eddie Ainsmith
Kurt Ainsworth
Raleigh Aitchison
George Aiton
John Ake
Jack Aker
Darrel Akerfelds
Bill Akers
Jerry Akers
Keegan Akin
Shogo Akiyama
R.J. Alaniz
Gibson Alba
Jonathan Albaladejo
Joe Albanese
José Alberro
Andrew Albers
Matt Albers
Hanser Alberto
Butch Alberts
Cy Alberts
Gus Alberts
Johnny Albertson
Ozzie Albies
Ed Albosta
Ed Albrecht
Jack Albright
Thomas Albright
Alex Albritton
Al Alburquerque
Vic Albury
Jorge Alcalá
Santo Alcalá
Arismendy Alcántara
Israel Alcántara
Raúl Alcántara
Sandy Alcántara
Sergio Alcántara
Victor Alcántara
Luis Alcaraz
Scotty Alcock
Dale Alderson
Scott Aldred
Mike Aldrete
Jay Aldrich
Cory Aldridge
Vic Aldridge
Chuck Aleno
Blaze Alexander
Bob Alexander
Buck Alexander
Chuffie Alexander
CJ Alexander
Dale Alexander
Doyle Alexander
Gary Alexander
Gerald Alexander
Hugh Alexander
Jason Alexander
Koke Alexander
Manny Alexander
Matt Alexander
Nin Alexander
Grover Alexander
Scott Alexander
Spencer Alexander
Ted Alexander
Tyler Alexander
Walt Alexander
A.J. Alexy
Jason Alfaro
Jorge Alfaro
Antonio Alfonseca
Ángel Alfonso
Edgardo Alfonzo
Eliézer Alfonzo
Anthony Alford
Luis Alicea
Andy Allanson
Brian Allard
Kolby Allard
Cam Alldred
Alex Allen
Austin Allen
Bernie Allen
Bob Allen
Bob Allen
Bob Allen
Brandon Allen
Buddy Allen
Chad Allen
Clifford Allen
Cliney Allen
Cody Allen
Dick Allen
Dusty Allen
Earl Allen
Ethan Allen
Frank Allen
Greg Allen
Half Pint Allen
Ham Allen
Hank Allen
Hezekiah Allen
Horace Allen
Hosea Allen
Jack Allen
Jamie Allen
John Allen
Johnny Allen
Kim Allen
Lloyd Allen
Logan Allen
Logan Allen
Luke Allen
Myron Allen
Neil Allen
Newt Allen
Nick Allen
Nick Allen
Pete Allen
Rod Allen
Ron Allen
Sled Allen
Todd Allen
Toussaint Allen
Gary Allenson
Jermaine Allensworth
Gene Alley
Nick Allgeyer
Gair Allie
Bob Allietta
Allison
Andy Allison
Art Allison
Bill Allison
Bob Allison
Dana Allison
Doug Allison
Mack Allison
Milo Allison
Moody Allison
Beau Allred
Mel Almada
Armando Almanza
Carlos Almánzar
Rafael Almeida
Bill Almon
Abraham Almonte
Edwin Almonte
Erick Almonte
Héctor Almonte
Miguel Almonte
Yency Almonte
Zoilo Almonte
Albert Almora
Luis Alomá
Roberto Alomar
Sandy Alomar
Sandy Alomar
Pete Alonso
Rogelio Alonso
Yonder Alonso
Felipe Alou
Jesús Alou
Matty Alou
Moisés Alou
Whitey Alpermann
Dell Alston
Garvin Alston
Tom Alston
Walter Alston
Porfi Altamirano
Dan Altavilla
Ernie Alten
Jesse Altenburg
Aaron Altherr
Dave Altizer
George Altman
Joe Altobelli
Nick Altrock
Jose Altuve
Jake Alu
George Alusik
José Alvarado
Luis Alvarado
Abe Alvarez
Armando Alvarez
Clemente Álvarez
Dariel Álvarez
Dario Álvarez
Eddy Alvarez
Francisco Alvarez
Gabe Alvarez
Henderson Alvarez III
José Álvarez
José Álvarez
Juan Alvarez
Orlando Álvarez
Ossie Álvarez
Pedro Álvarez
R.J. Alvarez
Raúl Álvarez
Rogelio Álvarez
Tavo Álvarez
Tony Alvarez
Victor Álvarez
Wilson Álvarez
Yordan Alvarez
Max Alvis
Billy Alvord
Brant Alyea
Adbert Alzolay
Adael Amador
Joey Amalfitano
Rich Amaral
Alexi Amarista
Rubén Amaro Sr.
Rubén Amaro Jr.
Jacob Amaya
Miguel Amaya
Wayne Ambler
Chip Ambres
Héctor Ambriz
Trey Amburgey
Ed Amelung
Red Ames
Steve Ames
Alfredo Amézaga
Doc Amole
Vicente Amor
Sandy Amorós
Walter Ancker
Larry Andersen
Anderson
Alf Anderson
Allan Anderson
Andy Anderson
Bill Anderson
Bill Anderson
Bill Anderson
Bob Anderson
Bobby Anderson
Brady Anderson
Brett Anderson
Brian Anderson
Brian Anderson
Brian Anderson
Bryan Anderson
Bubbles Anderson
Bud Anderson
C. Anderson
Chase Anderson
Cody Anderson
Craig Anderson
Dave Anderson
Dave Anderson
Drew Anderson
Drew Anderson
Dwain Anderson
Fast Ball Anderson
Ferrell Anderson
Fireman Anderson
Fred Anderson
Garret Anderson
George Anderson
Goat Anderson
Grant Anderson
Hal Anderson
Harry Anderson
Ian Anderson
Jason Anderson
Jim Anderson
Jimmy Anderson
John Anderson
John Anderson
Josh Anderson
Justin Anderson
Kent Anderson
Larry Anderson
Lars Anderson
Lewis Anderson
Marlon Anderson
Matt Anderson
Mike Anderson
Mike Anderson
Nick Anderson
Orinthal Anderson
Red Anderson
Rick Anderson
Rick Anderson
Roland Anderson
Scott Anderson
Shaun Anderson
Sparky Anderson
Tanner Anderson
Tim Anderson
Tyler Anderson
Varney Anderson
Walter Anderson
Wingo Anderson
Robert Andino
Steve Andrade
John André
John Andreoli
Ernie Andres
Kim Andrew
Andrews
Andrews
Andrews
Clayton Andrews
Clayton Andrews
Curley Andrews
Ed Andrews
Elbert Andrews
Fred Andrews
Hub Andrews
Ivy Andrews
Jabbo Andrews
Jim Andrews
John Andrews
Mike Andrews
Nate Andrews
Rob Andrews
Shane Andrews
Stan Andrews
Wally Andrews
Matt Andriese
Bill Andrus
Elvis Andrus
Fred Andrus
Wyman Andrus
Joaquín Andújar
Luis Andújar
Miguel Andujar
Norm Angelini
Matt Angle
Tom Angley
Pat Ankenman
Rick Ankiel
Dean Anna
Bill Annis
Cap Anson
Eric Anthony
Joe Antolick
Dustin Antolin
Tejay Antone
John Antonelli
Johnny Antonelli
Matt Antonelli
Bill Antonello
Nori Aoki
Luis Aparicio
Bob Apodaca
Luis Aponte
Sherten Apostel
Mark Appel
Kevin Appier
Fred Applegate
Gideon Applegate
Red Applegate
Ed Appleton
Pete Appleton
Luke Appling
Aristides Aquino
Greg Aquino
Jayson Aquino
Luis Aquino
Angel Aragón
Jack Aragón
Jonathan Aranda
Pedro Arango
Víctor Arano
Elvis Araújo
Pedro Araújo
Jonathan Araúz
Maurice Archdeacon
Chris Archer
Fred Archer
Jim Archer
Jimmy Archer
George Archie
Francisco Arcia
José Arcia
Orlando Arcia
Oswaldo Arcia
Dan Ardell
Rugger Ardizoia
Joe Ardner
Danny Ardoin
Frank Arellanes
Nolan Arenado
Hipolito Arenas
J.P. Arencibia
Mario Arencibia
Hank Arft
Alberto Árias
Alex Arias
Gabriel Arias
George Arias
Joaquín Arias
Rudy Árias
Kohei Arihara
Mario Ariosa
Buzz Arlett
Don Arlich
Steve Arlin
Felipe Armas
Marcos Armas
Tony Armas
Tony Armas
Ed Armbrister
Orville Armbrust
Charlie Armbruster
Harry Armbruster
Rogelio Armenteros
Armour
Buddy Armour
Jimmie Armstead
George Armstrong
Howard Armstrong
Jack Armstrong
Mike Armstrong
Robert Armstrong
Shawn Armstrong
Harry Arndt
Larry Arndt
Billy Arnold
Chris Arnold
Jamie Arnold
Paul Arnold
Scott Arnold
Tony Arnold
Morrie Arnovich
Brad Arnsberg
Orie Arntzen
Jonathan Aro
René Arocha
Randy Arozarena
Luis Arráez
José Arredondo
Jake Arrieta
Spencer Arrighetti
Gerry Arrigo
Rolando Arrojo
Bronson Arroyo
Christian Arroyo
Fernando Arroyo
Luis Arroyo
Rudy Arroyo
Erisbel Arruebarrena
Humberto Arteaga
Artez
Joaquín Arumís
Harry Arundel
Tug Arundel
Randy Asadoor
Jim Asbell
Casper Asbjornson
Orlando Asbury
Carlos Ascanio
José Ascanio
Cody Asche
Jairo Asencio
Miguel Asencio
Ken Ash
Rudolph Ash
Richie Ashburn
Aaron Ashby
Alan Ashby
Andy Ashby
Earl Ashby
Graham Ashcraft
Alec Asher
Tucker Ashford
Billy Ashley
Nevin Ashley
Tom Asmussen
Bob Aspromonte
Ken Aspromonte
Javier Assad
Brian Asselstine
Paul Assenmacher
Ezequiel Astacio
Pedro Astacio
Barrett Astin
Joe Astroth
Willians Astudillo
Carlos Asuaje
Scott Atchison
Justin Atchley
Charlie Atherton
Keith Atherton
Luis Atilano
Abe Atkins
Garrett Atkins
James Atkins
Joe Atkins
Mitch Atkins
Tommy Atkins
Al Atkinson
Bill Atkinson
Ed Atkinson
Harry Atkinson
Lefty Atkinson
Dick Attreau
Toby Atwell
Bill Atwood
Jake Atz
Harry Aubrey
Michael Aubrey
Derek Aucoin
Rich Aude
Rick Auerbach
Bryan Augenstein
Don August
Dave Augustine
Jerry Augustine
Cornelius Augustus
Elden Auker
Tex Aulds
Doug Ault
Phillippe Aumont
Rich Aurilia
Joe Ausanio
Brad Ausmus
Dennis Aust
Frankie Austin
Henry Austin
Jeff Austin
Jim Austin
Jimmy Austin
Raymond Austin
Rick Austin
Tyler Austin
Al Autry
Chick Autry
Martin Autry
Abiatal Avelino
Bruce Aven
Earl Averill
Earl Averill
Skip Avery
Steve Avery
Xavier Avery
Alex Avila
Bobby Ávila
Nick Avila
Pedro Avila
Luis Avilán
Mike Aviles
Ramón Avilés
Jay Avrea
Russell Awkard
Dylan Axelrod
John Axford
Benny Ayala
Bobby Ayala
Luis Ayala
Erick Aybar
Manny Aybar
Willy Aybar
Jake Aydelott
Bill Ayers
Doc Ayers
Dick Aylward
Bob Ayrault
Joe Ayrault
Joe Azcue
José Azocar
Oscar Azócar
